geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[655734.448,4554088.932]}",4554088.932,655734.448,209,2,05/07/2017,altro - sinistro RCA,altro - danni materiali,118/A,700021965,VIA FRANCESCO CRISPI,655734.448,4554088.932
"{""type"":""Point"",""coordinates"":[655359.06,4553904.913]}",4553904.913,655359.06,210,1,07/04/2017,tombino,caduta pedone,181,700021965,VIA FRANCESCO CRISPI,655359.06,4553904.913
"{""type"":""Point"",""coordinates"":[655481.28,4554029.015]}",4554029.015,655481.28,211,1,11/07/2017,dissesto marciapiede,caduta pedone,,700020983,VIA FRANCESCO NETTI,655481.28,4554029.015
"{""type"":""Point"",""coordinates"":[655481.28,4554029.015]}",4554029.015,655481.28,212,1,01/08/2017,dissesto marciapiede,caduta pedone,,700020983,VIA FRANCESCO NETTI,655481.28,4554029.015
"{""type"":""Point"",""coordinates"":[656950.063,4547151.25]}",4547151.25,656950.063,213,4,27/10/2017,dissesto marciapiede,caduta pedone,5,700022271,VIA FRANCESCO RUBINI,656950.063,4547151.25
"{""type"":""Point"",""coordinates"":[655648.288,4554018.902]}",4554018.902,655648.288,214,1,27/05/2017,tombino,caduta pedone,7/A,700022474,VIA FRATELLI BANDIERA,655648.288,4554018.902
"{""type"":""Point"",""coordinates"":[649222.639,4556528.92]}",4556528.92,649222.639,216,5,12/09/2017,altro - olio,caduta con motociclo,,720010259,VIALE GABRIELE D'ANNUNZIO,649222.639,4556528.92
"{""type"":""Point"",""coordinates"":[649207.086,4556737.02]}",4556737.02,649207.086,217,5,16/03/2017,dissesto manto stradale,caduta pedone,17,720010259,VIALE GABRIELE D'ANNUNZIO,649207.086,4556737.02
"{""type"":""Point"",""coordinates"":[656687.998,4553259.202]}",4553259.202,656687.998,218,2,05/10/2017,tombino,caduta pedone,31/D,700021391,VIA GAETANO DEVITOFRANCESCO,656687.998,4553259.202
"{""type"":""Point"",""coordinates"":[650506.209,4554024.79]}",4554024.79,650506.209,219,3,16/01/2017,altro - urto accidentale,danni auto,,700021241,VIA GAETANO FIORE,650506.209,4554024.79
"{""type"":""Point"",""coordinates"":[657931.333,4552280.13]}",4552280.13,657931.333,220,2,24/08/2017,dissesto marciapiede,caduta pedone,16/G,720010522,VIA GAETANO SALVEMINI,657931.333,4552280.13
"{""type"":""Point"",""coordinates"":[655534.429,4553982.914]}",4553982.914,655534.429,223,1,27/04/2017,dissesto manto stradale,caduta pedone,,700021436,VIA GENERALE DE BERNARDIS,655534.429,4553982.914
"{""type"":""Point"",""coordinates"":[655534.429,4553982.914]}",4553982.914,655534.429,224,1,14/06/2017,dissesto manto stradale,caduta pedone,,700021436,VIA GENERALE DE BERNARDIS,655534.429,4553982.914
"{""type"":""Point"",""coordinates"":[663810.586,4550888.88]}",4550888.88,663810.586,226,1,02/06/2017,cane randagio,caduta pedone,,720012151,VIA GIOVANNI GENTILE,663810.586,4550888.88
"{""type"":""Point"",""coordinates"":[660617.967,4552570.91]}",4552570.91,660617.967,227,1,04/07/2017,tombino,altro - danni fisici,52,720012151,VIA GIOVANNI GENTILE,660617.967,4552570.91
"{""type"":""Point"",""coordinates"":[654600.58,4555761.996]}",4555761.996,654600.58,228,5,12/08/2017,altro - palo,danni auto,16,700021841,VIA GUGLIELMO MARCONI,654600.58,4555761.996
"{""type"":""Point"",""coordinates"":[658465.848,4553672.619]}",4553672.619,658465.848,229,1,19/04/2017,tombino,caduta pedone,,700021085,VIA GIACOMO MATTEOTTI,658465.848,4553672.619
"{""type"":""Point"",""coordinates"":[658417.561,4553592.7]}",4553592.7,658417.561,230,1,03/07/2017,altro - caduta palo,altro - danni materiali,24,700021085,VIA GIACOMO MATTEOTTI,658417.561,4553592.7
"{""type"":""Point"",""coordinates"":[646754.719,4558358.968]}",4558358.968,646754.719,231,5,16/03/2017,dissesto manto stradale,caduta pedone,,700021155,VIA GIANNONE DE MAIORIBUS,646754.719,4558358.968
"{""type"":""Point"",""coordinates"":[656169.941,4553546.494]}",4553546.494,656169.941,232,1,15/02/2017,dissesto manto stradale,caduta pedone,,700021102,VIA GIOVAN BATTISTA TREVISANI,656169.941,4553546.494
"{""type"":""Point"",""coordinates"":[656142.858,4553851.574]}",4553851.574,656142.858,233,1,06/03/2017,dissesto marciapiede,caduta pedone,247,700021102,VIA GIOVAN BATTISTA TREVISANI,656142.858,4553851.574
"{""type"":""Point"",""coordinates"":[656097.062,4554369.805]}",4554369.805,656097.062,234,1,25/03/2017,dissesto marciapiede,caduta pedone,83,700021102,VIA GIOVAN BATTISTA TREVISANI,656097.062,4554369.805
"{""type"":""Point"",""coordinates"":[656127.502,4554149.912]}",4554149.912,656127.502,235,1,28/08/2017,dissesto marciapiede,caduta pedone,100,700021102,VIA GIOVAN BATTISTA TREVISANI,656127.502,4554149.912
"{""type"":""Point"",""coordinates"":[656163.141,4553764.434]}",4553764.434,656163.141,236,1,27/06/2017,dissesto manto stradale,caduta pedone,204,700021102,VIA GIOVAN BATTISTA TREVISANI,656163.141,4553764.434
"{""type"":""Point"",""coordinates"":[659921.761,4548499.4]}",4548499.4,659921.761,237,2,27/02/2017,dissesto manto stradale,danni auto,,720010299,VIA GIOVANNI AMENDOLA,659921.761,4548499.4
"{""type"":""Point"",""coordinates"":[657788.777,4553302.957]}",4553302.957,657788.777,238,2,27/01/2017,dissesto manto stradale,danni auto,100,720010299,VIA GIOVANNI AMENDOLA,657788.777,4553302.957
"{""type"":""Point"",""coordinates"":[658334.088,4552533.38]}",4552533.38,658334.088,239,2,27/02/2017,tombino,danni auto,138,720010299,VIA GIOVANNI AMENDOLA,658334.088,4552533.38
"{""type"":""Point"",""coordinates"":[657874.531,4553185.785]}",4553185.785,657874.531,240,2,04/07/2017,dissesto marciapiede,caduta pedone,106/U,720010299,VIA GIOVANNI AMENDOLA,657874.531,4553185.785
"{""type"":""Point"",""coordinates"":[657706.875,4553423.63]}",4553423.63,657706.875,241,2,15/04/2017,dissesto marciapiede,danni auto,17,720010299,VIA GIOVANNI AMENDOLA,657706.875,4553423.63
"{""type"":""Point"",""coordinates"":[651323.799,4554594.22]}",4554594.22,651323.799,242,3,01/10/2017,dissesto manto stradale,caduta con motociclo,,720011253,VIA GIOVANNI CANDURA,651323.799,4554594.22
"{""type"":""Point"",""coordinates"":[651323.799,4554594.22]}",4554594.22,651323.799,243,3,01/10/2017,dissesto manto stradale,caduta con motociclo,,720011253,VIA GIOVANNI CANDURA,651323.799,4554594.22
"{""type"":""Point"",""coordinates"":[656642.316,4548978.187]}",4548978.187,656642.316,245,2,13/06/2017,dissesto marciapiede,caduta pedone,,720011904,VIA GIULIO PETRONI,656642.316,4548978.187
